Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Petalarea(cm^2)
1,5.1,3.0462068965517246,1.4,0.2,Iris-setosa,0.27999999999999997
2,4.9,3.0462068965517246,1.4,0.2,Iris-setosa,0.27999999999999997
3,4.7,3.0462068965517246,1.3,0.2,Iris-setosa,0.26
4,4.6,3.0462068965517246,1.5,0.2,Iris-setosa,0.30000000000000004
5,5.0,3.0462068965517246,1.4,0.2,Iris-setosa,0.27999999999999997
6,5.4,3.9,1.7,0.4,Iris-setosa,0.68
7,4.6,3.4,1.4,0.3,Iris-setosa,0.42
8,5.0,3.4,1.5,0.2,Iris-setosa,0.30000000000000004
9,4.4,2.9,1.4,0.2,Iris-setosa,0.27999999999999997
10,4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002
11,5.4,3.7,1.5,0.2,Iris-setosa,0.30000000000000004
12,4.8,3.4,1.6,0.2,Iris-setosa,0.32000000000000006
13,4.8,3.0,1.4,0.1,Iris-setosa,0.13999999999999999
14,4.3,3.0,1.1,0.1,Iris-setosa,0.11000000000000001
15,5.8,4.0,1.2,0.2,Iris-setosa,0.24
16,5.7,4.4,1.5,0.4,Iris-setosa,0.6000000000000001
17,5.4,3.9,1.3,0.4,Iris-setosa,0.52
18,5.1,3.5,1.4,0.3,Iris-setosa,0.42
19,5.7,3.8,1.7,0.3,Iris-setosa,0.51
20,5.1,3.8,1.5,0.3,Iris-setosa,0.44999999999999996
21,5.4,3.4,1.7,0.2,Iris-setosa,0.34
22,5.1,3.7,1.5,0.4,Iris-setosa,0.6000000000000001
23,4.6,3.6,1.0,0.2,Iris-setosa,0.2
24,5.1,3.3,1.7,0.5,Iris-setosa,0.85
25,4.8,3.4,1.9,0.2,Iris-setosa,0.38
26,5.0,3.0,1.6,0.2,Iris-setosa,0.32000000000000006
27,5.0,3.4,1.6,0.4,Iris-setosa,0.6400000000000001
28,5.2,3.5,1.5,0.2,Iris-setosa,0.30000000000000004
29,5.2,3.4,1.4,0.2,Iris-setosa,0.27999999999999997
30,4.7,3.2,1.6,0.2,Iris-setosa,0.32000000000000006
31,4.8,3.1,1.6,0.2,Iris-setosa,0.32000000000000006
32,5.4,3.4,1.5,0.4,Iris-setosa,0.6000000000000001
33,5.2,4.1,1.5,0.1,Iris-setosa,0.15000000000000002
34,5.5,4.2,1.4,0.2,Iris-setosa,0.27999999999999997
35,4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002
36,5.0,3.2,1.2,0.2,Iris-setosa,0.24
37,5.5,3.5,1.3,0.2,Iris-setosa,0.26
38,4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002
39,4.4,3.0,1.3,0.2,Iris-setosa,0.26
40,5.1,3.4,1.5,0.2,Iris-setosa,0.30000000000000004
41,5.0,3.5,1.3,0.3,Iris-setosa,0.39
42,4.5,2.3,1.3,0.3,Iris-setosa,0.39
43,4.4,3.2,1.3,0.2,Iris-setosa,0.26
44,5.0,3.5,1.6,0.6,Iris-setosa,0.96
45,5.1,3.8,1.9,0.4,Iris-setosa,0.76
46,4.8,3.0,1.4,0.3,Iris-setosa,0.42
47,5.1,3.8,1.6,0.2,Iris-setosa,0.32000000000000006
48,4.6,3.2,1.4,0.2,Iris-setosa,0.27999999999999997
49,5.3,3.7,1.5,0.2,Iris-setosa,0.30000000000000004
50,5.0,3.3,1.4,0.2,Iris-setosa,0.27999999999999997
51,7.0,3.2,4.7,1.4,Iris-versicolor,6.58
52,6.4,3.2,4.5,1.5,Iris-versicolor,6.75
53,6.9,3.1,4.9,1.5,Iris-versicolor,7.3500000000000005
54,5.5,2.3,4.0,1.3,Iris-versicolor,5.2
55,6.5,2.8,4.6,1.5,Iris-versicolor,6.8999999999999995
56,5.7,2.8,4.5,1.3,Iris-versicolor,5.8500000000000005
57,6.3,3.3,4.7,1.6,Iris-versicolor,7.5200000000000005
58,4.9,2.4,3.3,1.0,Iris-versicolor,3.3
59,6.6,2.9,4.6,1.3,Iris-versicolor,5.9799999999999995
60,5.2,2.7,3.9,1.4,Iris-versicolor,5.46
61,5.0,2.0,3.5,1.0,Iris-versicolor,3.5
62,5.9,3.0,4.2,1.5,Iris-versicolor,6.300000000000001
63,6.0,2.2,4.0,1.0,Iris-versicolor,4.0
64,6.1,2.9,4.7,1.4,Iris-versicolor,6.58
65,5.6,2.9,3.6,1.3,Iris-versicolor,4.680000000000001
66,6.7,3.1,4.4,1.4,Iris-versicolor,6.16
67,5.6,3.0,4.5,1.5,Iris-versicolor,6.75
68,5.8,2.7,4.1,1.0,Iris-versicolor,4.1
69,6.2,2.2,4.5,1.5,Iris-versicolor,6.75
70,5.6,2.5,3.9,1.1,Iris-versicolor,4.29
71,5.9,3.2,4.8,1.8,Iris-versicolor,8.64
72,6.1,2.8,4.0,1.3,Iris-versicolor,5.2
73,6.3,2.5,4.9,1.5,Iris-versicolor,7.3500000000000005
74,6.1,2.8,4.7,1.2,Iris-versicolor,5.64
75,6.4,2.9,4.3,1.3,Iris-versicolor,5.59
76,6.6,3.0,4.4,1.4,Iris-versicolor,6.16
77,6.8,2.8,4.8,1.4,Iris-versicolor,6.72
78,6.7,3.0,5.0,1.7,Iris-versicolor,8.5
79,6.0,2.9,4.5,1.5,Iris-versicolor,6.75
80,5.7,2.6,3.5,1.0,Iris-versicolor,3.5
81,5.5,2.4,3.8,1.1,Iris-versicolor,4.18
82,5.5,2.4,3.7,1.0,Iris-versicolor,3.7
83,5.8,2.7,3.9,1.2,Iris-versicolor,4.68
84,6.0,2.7,5.1,1.6,Iris-versicolor,8.16
85,5.4,3.0,4.5,1.5,Iris-versicolor,6.75
86,6.0,3.4,4.5,1.6,Iris-versicolor,7.2
87,6.7,3.1,4.7,1.5,Iris-versicolor,7.050000000000001
88,6.3,2.3,4.4,1.3,Iris-versicolor,5.720000000000001
89,5.6,3.0,4.1,1.3,Iris-versicolor,5.33
90,5.5,2.5,4.0,1.3,Iris-versicolor,5.2
91,5.5,2.6,4.4,1.2,Iris-versicolor,5.28
92,6.1,3.0,4.6,1.4,Iris-versicolor,6.4399999999999995
93,5.8,2.6,4.0,1.2,Iris-versicolor,4.8
94,5.0,2.3,3.3,1.0,Iris-versicolor,3.3
95,5.6,2.7,4.2,1.3,Iris-versicolor,5.460000000000001
96,5.7,3.0,4.2,1.2,Iris-versicolor,5.04
97,5.7,2.9,4.2,1.3,Iris-versicolor,5.460000000000001
98,6.2,2.9,4.3,1.3,Iris-versicolor,5.59
99,5.1,2.5,3.0,1.1,Iris-versicolor,3.3000000000000003
100,5.7,2.8,4.1,1.3,Iris-versicolor,5.33
101,6.3,3.3,6.0,2.5,Iris-virginica,15.0
102,5.8,2.7,5.1,1.9,Iris-virginica,9.69
103,7.1,3.0,5.9,2.1,Iris-virginica,12.39
104,6.3,2.9,5.6,1.8,Iris-virginica,10.08
105,6.5,3.0,5.8,2.2,Iris-virginica,12.76
106,7.6,3.0,6.6,2.1,Iris-virginica,13.86
107,4.9,2.5,4.5,1.7,Iris-virginica,7.6499999999999995
108,7.3,2.9,6.3,1.8,Iris-virginica,11.34
109,6.7,2.5,5.8,1.8,Iris-virginica,10.44
110,7.2,3.6,6.1,2.5,Iris-virginica,15.25
111,6.5,3.2,5.1,2.0,Iris-virginica,10.2
112,6.4,2.7,5.3,1.9,Iris-virginica,10.069999999999999
113,6.8,3.0,5.5,2.1,Iris-virginica,11.55
114,5.7,2.5,5.0,2.0,Iris-virginica,10.0
115,5.8,2.8,5.1,2.4,Iris-virginica,12.239999999999998
116,6.4,3.2,5.3,2.3,Iris-virginica,12.19
117,6.5,3.0,5.5,1.8,Iris-virginica,9.9
118,7.7,3.8,6.7,2.2,Iris-virginica,14.740000000000002
119,7.7,2.6,6.9,2.3,Iris-virginica,15.87
120,6.0,2.2,5.0,1.5,Iris-virginica,7.5
121,6.9,3.2,5.7,2.3,Iris-virginica,13.11
122,5.6,2.8,4.9,2.0,Iris-virginica,9.8
123,7.7,2.8,6.7,2.0,Iris-virginica,13.4
124,6.3,2.7,4.9,1.8,Iris-virginica,8.82
125,6.7,3.3,5.7,2.1,Iris-virginica,11.97
126,7.2,3.2,6.0,1.8,Iris-virginica,10.8
127,6.2,2.8,4.8,1.8,Iris-virginica,8.64
128,6.1,3.0,4.9,1.8,Iris-virginica,8.82
129,6.4,2.8,5.6,2.1,Iris-virginica,11.76
130,7.2,3.0,5.8,1.6,Iris-virginica,9.28
131,7.4,2.8,6.1,1.9,Iris-virginica,11.589999999999998
132,7.9,3.8,6.4,2.0,Iris-virginica,12.8
133,6.4,2.8,5.6,2.2,Iris-virginica,12.32
134,6.3,2.8,5.1,1.5,Iris-virginica,7.6499999999999995
135,6.1,2.6,5.6,1.4,Iris-virginica,7.839999999999999
136,7.7,3.0,6.1,2.3,Iris-virginica,14.029999999999998
137,6.3,3.4,5.6,2.4,Iris-virginica,13.44
138,6.4,3.1,5.5,1.8,Iris-virginica,9.9
139,6.0,3.0,4.8,1.8,Iris-virginica,8.64
140,6.9,3.1,5.4,2.1,Iris-virginica,11.340000000000002
141,6.7,3.1,5.6,2.4,Iris-virginica,13.44
142,6.9,3.1,5.1,2.3,Iris-virginica,11.729999999999999
143,5.8,2.7,5.1,1.9,Iris-virginica,9.69
144,6.8,3.2,5.9,2.3,Iris-virginica,13.57
145,6.7,3.3,5.7,2.5,Iris-virginica,14.25
146,6.7,3.0,5.2,2.3,Iris-virginica,11.959999999999999
147,6.3,2.5,5.0,1.9,Iris-virginica,9.5
148,6.5,3.0,5.2,2.0,Iris-virginica,10.4
149,6.2,3.4,5.4,2.3,Iris-virginica,12.42
150,5.9,3.0,5.1,1.8,Iris-virginica,9.18
